county,precinct,office,district,candidate,votes,party
Washoe,Washoe-7307,President,,"DE LA FUENTE, ROQUE ROCKY""""",0,NPP
Washoe,Washoe-7307,President,,"JOHNSON, GARY",0,LPN
Washoe,Washoe-7307,President,,None Of These Candidates,0,
Washoe,Washoe-7307,President,,"TRUMP, DONALD J.",14,REP
Washoe,Washoe-7307,School Board Trustee Dist. G (At Large),,"Holland, Katy Simon",11,
Washoe,Washoe-7307,School Board Trustee Dist. G (At Large),,"Horn, Bill",11,
Washoe,Washoe-7307,"State Assembly, District 27",,"Benitez-Thompson, Teresa",9,DEM
Washoe,Washoe-7307,"State Assembly, District 27",,"Weber, Bonnie",12,REP
Washoe,Washoe-7307,"State Board of Education, Dist. 2",,"CARTER, DAVID W.",14,
Washoe,Washoe-7307,"State Board of Education, Dist. 2",,"HICKEY, PAT",7,
Washoe,Washoe-7307,STATE QUESTION NO.1,,No,17,
Washoe,Washoe-7307,STATE QUESTION NO.1,,Yes,7,
Washoe,Washoe-7307,STATE QUESTION NO.2,,No,15,
Washoe,Washoe-7307,STATE QUESTION NO.2,,Yes,9,
Washoe,Washoe-7307,STATE QUESTION NO.3,,No,5,
Washoe,Washoe-7307,STATE QUESTION NO.3,,Yes,19,
Washoe,Washoe-7307,STATE QUESTION NO.4,,No,4,
Washoe,Washoe-7307,STATE QUESTION NO.4,,Yes,19,
Washoe,Washoe-7307,"State Senate, District 15",,"Colborne, David",2,LPN
Washoe,Washoe-7307,"State Senate, District 15",,"Gansert, Heidi S.",13,REP
Washoe,Washoe-7307,"State Senate, District 15",,"Reese, Devon Thomas",6,DEM
Washoe,Washoe-7307,"Supreme Court Justice, Seat A",,"HARDESTY, JIM",20,
Washoe,Washoe-7307,"Supreme Court Justice, Seat A",,None Of These Candidates,2,
Washoe,Washoe-7307,"Supreme Court Justice, Seat E",,None Of These Candidates,2,
Washoe,Washoe-7307,"Supreme Court Justice, Seat E",,"PARRAGUIRRE, RON D.",19,
Washoe,Washoe-7307,U.S. House,2,"Amodei, Mark E.",13,REP
Washoe,Washoe-7307,U.S. House,2,"EVANS, H.D. CHIP""""",8,DEM
Washoe,Washoe-7307,U.S. House,2,"Everhart, John H.",0,IAP
Washoe,Washoe-7307,U.S. House,2,"KNIGHT, DREW",1,
Washoe,Washoe-7307,U.S. Senate,,"CORTEZ MASTO, CATHERINE",9,DEM
Washoe,Washoe-7307,U.S. Senate,,"GUMINA, TONY",0,
Washoe,Washoe-7307,U.S. Senate,,"HECK, JOE",12,REP
Washoe,Washoe-7307,U.S. Senate,,"JONES, TOM",2,IAP
Washoe,Washoe-7307,U.S. Senate,,None Of These Candidates,0,
Washoe,Washoe-7307,U.S. Senate,,"SAWYER, THOMAS TOM""""",1,
Washoe,Washoe-7307,U.S. Senate,,"WILLIAMS, JARROD M.",0,
Washoe,Washoe-7307,WASHOE QUESTION 1,,No,8,
Washoe,Washoe-7307,WASHOE QUESTION 1,,Yes,16,
Washoe,Washoe-7308,"Court Of Appeals Judge, Dept. 1",,None Of These Candidates,3,
Washoe,Washoe-7308,"Court Of Appeals Judge, Dept. 1",,"TAO, JERRY",18,
Washoe,Washoe-7308,"Court Of Appeals Judge, Dept. 2",,"GIBBONS, MICHAEL",19,
Washoe,Washoe-7308,"Court Of Appeals Judge, Dept. 2",,None Of These Candidates,3,
Washoe,Washoe-7308,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,2,
Washoe,Washoe-7308,"Court Of Appeals Judge, Dept. 3",,"SILVER, ABBI",20,
Washoe,Washoe-7308,"Justice of the Peace, Sparks, Dept. 3",,"Lee, Matt",8,
Washoe,Washoe-7308,"Justice of the Peace, Sparks, Dept. 3",,"Longley, Jessica",14,
Washoe,Washoe-7308,President,,"CASTLE, DARRELL",0,IAP
Washoe,Washoe-7308,President,,"CLINTON, HILLARY",15,DEM
Washoe,Washoe-7308,President,,"DE LA FUENTE, ROQUE ROCKY""""",0,NPP
Washoe,Washoe-7308,President,,"JOHNSON, GARY",0,LPN
Washoe,Washoe-7308,President,,None Of These Candidates,0,
Washoe,Washoe-7308,President,,"TRUMP, DONALD J.",7,REP
Washoe,Washoe-7308,"State Assembly, District 30",,"Scott, Lauren A",9,REP
Washoe,Washoe-7308,"State Assembly, District 30",,"Sprinkle, Michael",13,DEM
Washoe,Washoe-7308,"State Board of Education, Dist. 2",,"CARTER, DAVID W.",12,
Washoe,Washoe-7308,"State Board of Education, Dist. 2",,"HICKEY, PAT",8,
Washoe,Washoe-7308,STATE QUESTION NO.1,,No,12,
Washoe,Washoe-7308,STATE QUESTION NO.1,,Yes,10,
Washoe,Washoe-7308,STATE QUESTION NO.2,,No,11,
Washoe,Washoe-7308,STATE QUESTION NO.2,,Yes,11,
Washoe,Washoe-7308,STATE QUESTION NO.3,,No,4,
Washoe,Washoe-7308,STATE QUESTION NO.3,,Yes,18,
Washoe,Washoe-7308,STATE QUESTION NO.4,,No,8,
Washoe,Washoe-7308,STATE QUESTION NO.4,,Yes,14,
Washoe,Washoe-7308,"State Senate, District 13",,"Bailey, Kent",7,REP
Washoe,Washoe-7308,"State Senate, District 13",,"Jacobs, Brandon",0,LPN
Washoe,Washoe-7308,"State Senate, District 13",,"Ratti, Julia",15,DEM
Washoe,Washoe-7308,"Supreme Court Justice, Seat A",,"HARDESTY, JIM",19,
Washoe,Washoe-7308,"Supreme Court Justice, Seat A",,None Of These Candidates,3,
Washoe,Washoe-7308,"Supreme Court Justice, Seat E",,None Of These Candidates,3,
Washoe,Washoe-7308,"Supreme Court Justice, Seat E",,"PARRAGUIRRE, RON D.",18,
Washoe,Washoe-7308,U.S. House,2,"Amodei, Mark E.",10,REP
Washoe,Washoe-7308,U.S. House,2,"EVANS, H.D. CHIP""""",12,DEM
Washoe,Washoe-7308,U.S. House,2,"Everhart, John H.",0,IAP
Washoe,Washoe-7308,U.S. House,2,"KNIGHT, DREW",0,
Washoe,Washoe-7308,U.S. Senate,,"CORTEZ MASTO, CATHERINE",15,DEM
Washoe,Washoe-7308,U.S. Senate,,"GUMINA, TONY",0,
Washoe,Washoe-7308,U.S. Senate,,"HECK, JOE",7,REP
Washoe,Washoe-7308,U.S. Senate,,"JONES, TOM",0,IAP
Washoe,Washoe-7308,U.S. Senate,,None Of These Candidates,0,
Washoe,Washoe-7308,U.S. Senate,,"SAWYER, THOMAS TOM""""",0,
Washoe,Washoe-7308,U.S. Senate,,"WILLIAMS, JARROD M.",0,
Washoe,Washoe-7308,WASHOE QUESTION 1,,No,7,
Washoe,Washoe-7308,WASHOE QUESTION 1,,Yes,15,
Washoe,Washoe-7309,"Court Of Appeals Judge, Dept. 1",,None Of These Candidates,0,
Washoe,Washoe-7309,"Court Of Appeals Judge, Dept. 1",,"TAO, JERRY",0,
Washoe,Washoe-7309,"Court Of Appeals Judge, Dept. 2",,"GIBBONS, MICHAEL",0,
Washoe,Washoe-7309,"Court Of Appeals Judge, Dept. 2",,None Of These Candidates,0,
Washoe,Washoe-7309,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,0,
Washoe,Washoe-7309,"Court Of Appeals Judge, Dept. 3",,"SILVER, ABBI",0,
Washoe,Washoe-7309,"Justice of the Peace, Sparks, Dept. 3",,"Lee, Matt",4,
Washoe,Washoe-7309,"Justice of the Peace, Sparks, Dept. 3",,"Longley, Jessica",6,
Washoe,Washoe-7309,President,,"CASTLE, DARRELL",0,IAP
Washoe,Washoe-7309,President,,"CLINTON, HILLARY",4,DEM
Washoe,Washoe-7309,President,,"DE LA FUENTE, ROQUE ROCKY""""",0,NPP
Washoe,Washoe-7309,President,,"JOHNSON, GARY",1,LPN
Washoe,Washoe-7309,President,,None Of These Candidates,1,
Washoe,Washoe-7309,President,,"TRUMP, DONALD J.",4,REP
Washoe,Washoe-7309,School Board Trustee Dist. G (At Large),,"Holland, Katy Simon",6,
Washoe,Washoe-7309,School Board Trustee Dist. G (At Large),,"Horn, Bill",4,
Washoe,Washoe-7309,"State Assembly, District 30",,"Scott, Lauren A",0,REP
Washoe,Washoe-7309,"State Assembly, District 30",,"Sprinkle, Michael",0,DEM
Washoe,Washoe-7309,"State Board of Education, Dist. 2",,"CARTER, DAVID W.",7,
Washoe,Washoe-7309,"State Board of Education, Dist. 2",,"HICKEY, PAT",3,
Washoe,Washoe-7309,STATE QUESTION NO.1,,No,5,
Washoe,Washoe-7309,STATE QUESTION NO.1,,Yes,5,
Washoe,Washoe-7309,STATE QUESTION NO.2,,No,3,
Washoe,Washoe-7309,STATE QUESTION NO.2,,Yes,7,
Washoe,Washoe-7309,STATE QUESTION NO.3,,No,3,
Washoe,Washoe-7309,STATE QUESTION NO.3,,Yes,7,
Washoe,Washoe-7309,STATE QUESTION NO.4,,No,0,
Washoe,Washoe-7309,STATE QUESTION NO.4,,Yes,0,
Washoe,Washoe-7309,"State Senate, District 13",,"Bailey, Kent",3,REP
Washoe,Washoe-7309,"State Senate, District 13",,"Jacobs, Brandon",2,LPN
Washoe,Washoe-7309,"State Senate, District 13",,"Ratti, Julia",5,DEM
Washoe,Washoe-7309,"Supreme Court Justice, Seat A",,"HARDESTY, JIM",0,
Washoe,Washoe-7309,"Supreme Court Justice, Seat A",,None Of These Candidates,0,
Washoe,Washoe-7309,"Supreme Court Justice, Seat E",,None Of These Candidates,0,
Washoe,Washoe-7309,"Supreme Court Justice, Seat E",,"PARRAGUIRRE, RON D.",0,
Washoe,Washoe-7309,U.S. House,2,"Amodei, Mark E.",4,REP
Washoe,Washoe-7309,U.S. House,2,"EVANS, H.D. CHIP""""",4,DEM
Washoe,Washoe-7309,U.S. House,2,"Everhart, John H.",1,IAP
Washoe,Washoe-7309,U.S. House,2,"KNIGHT, DREW",1,
Washoe,Washoe-7309,U.S. Senate,,"CORTEZ MASTO, CATHERINE",3,DEM
Washoe,Washoe-7309,U.S. Senate,,"GUMINA, TONY",1,
Washoe,Washoe-7309,U.S. Senate,,"HECK, JOE",5,REP
Washoe,Washoe-7309,U.S. Senate,,"JONES, TOM",0,IAP
Washoe,Washoe-7309,U.S. Senate,,None Of These Candidates,1,
Washoe,Washoe-7309,U.S. Senate,,"SAWYER, THOMAS TOM""""",0,
Washoe,Washoe-7309,U.S. Senate,,"WILLIAMS, JARROD M.",0,
Washoe,Washoe-7309,WASHOE QUESTION 1,,No,6,
Washoe,Washoe-7309,WASHOE QUESTION 1,,Yes,4,
Washoe,Washoe-7312,"Court Of Appeals Judge, Dept. 1",,None Of These Candidates,152,
Washoe,Washoe-7312,"Court Of Appeals Judge, Dept. 1",,"TAO, JERRY",334,
Washoe,Washoe-7312,"Court Of Appeals Judge, Dept. 2",,"GIBBONS, MICHAEL",347,
Washoe,Washoe-7312,"Court Of Appeals Judge, Dept. 2",,None Of These Candidates,138,
Washoe,Washoe-7312,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,151,
Washoe,Washoe-7312,"Court Of Appeals Judge, Dept. 3",,"SILVER, ABBI",338,
Washoe,Washoe-7312,"Justice of the Peace, Sparks, Dept. 3",,"Lee, Matt",154,
Washoe,Washoe-7312,"Justice of the Peace, Sparks, Dept. 3",,"Longley, Jessica",297,
Washoe,Washoe-7312,President,,"CASTLE, DARRELL",5,IAP
Washoe,Washoe-7312,President,,"CLINTON, HILLARY",267,DEM
Washoe,Washoe-7312,President,,"DE LA FUENTE, ROQUE ROCKY""""",0,NPP
Washoe,Washoe-7312,President,,"JOHNSON, GARY",19,LPN
Washoe,Washoe-7312,President,,None Of These Candidates,19,
Washoe,Washoe-7312,President,,"TRUMP, DONALD J.",228,REP
Washoe,Washoe-7312,"State Assembly, District 27",,"Benitez-Thompson, Teresa",260,DEM
Washoe,Washoe-7312,"State Assembly, District 27",,"Weber, Bonnie",240,REP
Washoe,Washoe-7312,"State Board of Education, Dist. 2",,"CARTER, DAVID W.",251,
Washoe,Washoe-7312,"State Board of Education, Dist. 2",,"HICKEY, PAT",205,
Washoe,Washoe-7312,STATE QUESTION NO.1,,No,314,
Washoe,Washoe-7312,STATE QUESTION NO.1,,Yes,214,
Washoe,Washoe-7312,STATE QUESTION NO.2,,No,203,
Washoe,Washoe-7312,STATE QUESTION NO.2,,Yes,328,
Washoe,Washoe-7312,STATE QUESTION NO.3,,No,142,
Washoe,Washoe-7312,STATE QUESTION NO.3,,Yes,375,
Washoe,Washoe-7312,STATE QUESTION NO.4,,No,130,
Washoe,Washoe-7312,STATE QUESTION NO.4,,Yes,387,
Washoe,Washoe-7312,"State Senate, District 15",,"Colborne, David",26,LPN
Washoe,Washoe-7312,"State Senate, District 15",,"Gansert, Heidi S.",241,REP
Washoe,Washoe-7312,"State Senate, District 15",,"Reese, Devon Thomas",233,DEM
Washoe,Washoe-7312,Sun Valley General Improvement Dist.,,"Barstow, Joseph D.",264,
Washoe,Washoe-7312,Sun Valley General Improvement Dist.,,"Elliott, Garth T.",252,
Washoe,Washoe-7312,Sun Valley General Improvement Dist.,,"Ortiz, Carmen",287,
Washoe,Washoe-7312,Sun Valley General Improvement Dist.,,"Rider, Michael",247,
Washoe,Washoe-7312,"Supreme Court Justice, Seat A",,"HARDESTY, JIM",345,
Washoe,Washoe-7312,"Supreme Court Justice, Seat A",,None Of These Candidates,133,
Washoe,Washoe-7312,"Supreme Court Justice, Seat E",,None Of These Candidates,152,
Washoe,Washoe-7312,"Supreme Court Justice, Seat E",,"PARRAGUIRRE, RON D.",334,
Washoe,Washoe-7312,U.S. House,2,"Amodei, Mark E.",231,REP
Washoe,Washoe-7312,U.S. House,2,"EVANS, H.D. CHIP""""",238,DEM
Washoe,Washoe-7312,U.S. House,2,"Everhart, John H.",27,IAP
Washoe,Washoe-7312,U.S. House,2,"KNIGHT, DREW",9,
Washoe,Washoe-7312,U.S. Senate,,"CORTEZ MASTO, CATHERINE",258,DEM
Washoe,Washoe-7312,U.S. Senate,,"GUMINA, TONY",8,
Washoe,Washoe-7312,U.S. Senate,,"HECK, JOE",205,REP
Washoe,Washoe-7312,U.S. Senate,,"JONES, TOM",12,IAP
Washoe,Washoe-7312,U.S. Senate,,None Of These Candidates,26,
Washoe,Washoe-7312,U.S. Senate,,"SAWYER, THOMAS TOM""""",15,
Washoe,Washoe-7312,U.S. Senate,,"WILLIAMS, JARROD M.",4,
Washoe,Washoe-7312,WASHOE QUESTION 1,,No,251,
Washoe,Washoe-7312,WASHOE QUESTION 1,,Yes,275,
Washoe,Washoe-7313,"Court Of Appeals Judge, Dept. 1",,None Of These Candidates,40,
Washoe,Washoe-7313,"Court Of Appeals Judge, Dept. 1",,"TAO, JERRY",119,
Washoe,Washoe-7313,"Court Of Appeals Judge, Dept. 2",,"GIBBONS, MICHAEL",120,
Washoe,Washoe-7313,"Court Of Appeals Judge, Dept. 2",,None Of These Candidates,37,
Washoe,Washoe-7313,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,38,
Washoe,Washoe-7313,"Court Of Appeals Judge, Dept. 3",,"SILVER, ABBI",119,
Washoe,Washoe-7313,"Justice of the Peace, Sparks, Dept. 3",,"Lee, Matt",54,
Washoe,Washoe-7313,"Justice of the Peace, Sparks, Dept. 3",,"Longley, Jessica",100,
Washoe,Washoe-7313,President,,"CASTLE, DARRELL",1,IAP
Washoe,Washoe-7313,President,,"CLINTON, HILLARY",91,DEM
Washoe,Washoe-7313,President,,"DE LA FUENTE, ROQUE ROCKY""""",1,NPP
Washoe,Washoe-7313,President,,"JOHNSON, GARY",4,LPN
Washoe,Washoe-7313,President,,None Of These Candidates,8,
Washoe,Washoe-7313,President,,"TRUMP, DONALD J.",66,REP
Washoe,Washoe-7313,School Board Trustee Dist. C,,"Elser, Allen",24,
Washoe,Washoe-7313,School Board Trustee Dist. C,,"Evans, Carol Alice",40,
Washoe,Washoe-7313,School Board Trustee Dist. C,,"Feemster, Debra",40,
Washoe,Washoe-7313,School Board Trustee Dist. C,,"Hudson, Greg",22,
Washoe,Washoe-7313,School Board Trustee Dist. C,,"Stevens, Leonard Len""""",21,
Washoe,Washoe-7313,"State Assembly, District 27",,"Benitez-Thompson, Teresa",85,DEM
Washoe,Washoe-7313,"State Assembly, District 27",,"Weber, Bonnie",79,REP
Washoe,Washoe-7313,"State Board of Education, Dist. 2",,"CARTER, DAVID W.",76,
Washoe,Washoe-7313,"State Board of Education, Dist. 2",,"HICKEY, PAT",75,
Washoe,Washoe-7313,STATE QUESTION NO.1,,No,112,
Washoe,Washoe-7313,STATE QUESTION NO.1,,Yes,57,
Washoe,Washoe-7313,STATE QUESTION NO.2,,No,60,
Washoe,Washoe-7313,STATE QUESTION NO.2,,Yes,110,
Washoe,Washoe-7313,STATE QUESTION NO.3,,No,58,
Washoe,Washoe-7313,STATE QUESTION NO.3,,Yes,108,
Washoe,Washoe-7313,STATE QUESTION NO.4,,No,37,
Washoe,Washoe-7313,STATE QUESTION NO.4,,Yes,125,
Washoe,Washoe-7313,"State Senate, District 15",,"Colborne, David",16,LPN
Washoe,Washoe-7313,"State Senate, District 15",,"Gansert, Heidi S.",70,REP
Washoe,Washoe-7313,"State Senate, District 15",,"Reese, Devon Thomas",77,DEM
Washoe,Washoe-7313,Sun Valley General Improvement Dist.,,"Barstow, Joseph D.",83,
Washoe,Washoe-7313,Sun Valley General Improvement Dist.,,"Elliott, Garth T.",91,
Washoe,Washoe-7313,Sun Valley General Improvement Dist.,,"Ortiz, Carmen",92,
Washoe,Washoe-7313,Sun Valley General Improvement Dist.,,"Rider, Michael",87,
Washoe,Washoe-7313,"Supreme Court Justice, Seat A",,"HARDESTY, JIM",119,
Washoe,Washoe-7313,"Supreme Court Justice, Seat A",,None Of These Candidates,40,
Washoe,Washoe-7313,"Supreme Court Justice, Seat E",,None Of These Candidates,44,
Washoe,Washoe-7313,"Supreme Court Justice, Seat E",,"PARRAGUIRRE, RON D.",114,
Washoe,Washoe-7313,U.S. House,2,"Amodei, Mark E.",61,REP
Washoe,Washoe-7313,U.S. House,2,"EVANS, H.D. CHIP""""",83,DEM
Washoe,Washoe-7313,U.S. House,2,"Everhart, John H.",12,IAP
Washoe,Washoe-7313,U.S. House,2,"KNIGHT, DREW",12,
Washoe,Washoe-7313,U.S. Senate,,"CORTEZ MASTO, CATHERINE",79,DEM
Washoe,Washoe-7313,U.S. Senate,,"GUMINA, TONY",3,
Washoe,Washoe-7313,U.S. Senate,,"HECK, JOE",54,REP
Washoe,Washoe-7313,U.S. Senate,,"JONES, TOM",6,IAP
Washoe,Washoe-7313,U.S. Senate,,None Of These Candidates,20,
Washoe,Washoe-7313,U.S. Senate,,"SAWYER, THOMAS TOM""""",4,
Washoe,Washoe-7313,U.S. Senate,,"WILLIAMS, JARROD M.",4,
Washoe,Washoe-7313,WASHOE QUESTION 1,,No,82,
Washoe,Washoe-7313,WASHOE QUESTION 1,,Yes,83,
Washoe,Washoe-7314,"Court Of Appeals Judge, Dept. 1",,None Of These Candidates,118,
Washoe,Washoe-7314,"Court Of Appeals Judge, Dept. 1",,"TAO, JERRY",363,
Washoe,Washoe-7314,"Court Of Appeals Judge, Dept. 2",,"GIBBONS, MICHAEL",376,
Washoe,Washoe-7314,"Court Of Appeals Judge, Dept. 2",,None Of These Candidates,102,
Washoe,Washoe-7314,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,116,
Washoe,Washoe-7314,"Court Of Appeals Judge, Dept. 3",,"SILVER, ABBI",360,
Washoe,Washoe-7314,"Justice of the Peace, Sparks, Dept. 3",,"Lee, Matt",173,
Washoe,Washoe-7314,"Justice of the Peace, Sparks, Dept. 3",,"Longley, Jessica",285,
Washoe,Washoe-7314,President,,"CASTLE, DARRELL",3,IAP
Washoe,Washoe-7314,President,,"CLINTON, HILLARY",252,DEM
Washoe,Washoe-7314,President,,"DE LA FUENTE, ROQUE ROCKY""""",3,NPP
Washoe,Washoe-7314,President,,"JOHNSON, GARY",21,LPN
Washoe,Washoe-7314,President,,None Of These Candidates,18,
Washoe,Washoe-7314,President,,"TRUMP, DONALD J.",224,REP
Washoe,Washoe-7314,"State Assembly, District 27",,"Benitez-Thompson, Teresa",266,DEM
Washoe,Washoe-7314,"State Assembly, District 27",,"Weber, Bonnie",233,REP
Washoe,Washoe-7314,"State Board of Education, Dist. 2",,"CARTER, DAVID W.",268,
Washoe,Washoe-7314,"State Board of Education, Dist. 2",,"HICKEY, PAT",205,
Washoe,Washoe-7314,STATE QUESTION NO.1,,No,306,
Washoe,Washoe-7314,STATE QUESTION NO.1,,Yes,202,
Washoe,Washoe-7314,STATE QUESTION NO.2,,No,195,
Washoe,Washoe-7314,STATE QUESTION NO.2,,Yes,317,
Washoe,Washoe-7314,STATE QUESTION NO.3,,No,152,
Washoe,Washoe-7314,STATE QUESTION NO.3,,Yes,351,
Washoe,Washoe-7314,STATE QUESTION NO.4,,No,136,
Washoe,Washoe-7314,STATE QUESTION NO.4,,Yes,363,
Washoe,Washoe-7314,"State Senate, District 15",,"Colborne, David",40,LPN
Washoe,Washoe-7314,"State Senate, District 15",,"Gansert, Heidi S.",218,REP
Washoe,Washoe-7314,"State Senate, District 15",,"Reese, Devon Thomas",238,DEM
Washoe,Washoe-7314,Sun Valley General Improvement Dist.,,"Barstow, Joseph D.",260,
Washoe,Washoe-7314,Sun Valley General Improvement Dist.,,"Elliott, Garth T.",262,
Washoe,Washoe-7314,Sun Valley General Improvement Dist.,,"Ortiz, Carmen",270,
Washoe,Washoe-7314,Sun Valley General Improvement Dist.,,"Rider, Michael",240,
Washoe,Washoe-7314,"Supreme Court Justice, Seat A",,"HARDESTY, JIM",362,
Washoe,Washoe-7314,"Supreme Court Justice, Seat A",,None Of These Candidates,117,
Washoe,Washoe-7314,"Supreme Court Justice, Seat E",,None Of These Candidates,126,
Washoe,Washoe-7314,"Supreme Court Justice, Seat E",,"PARRAGUIRRE, RON D.",357,
Washoe,Washoe-7314,U.S. House,2,"Amodei, Mark E.",233,REP
Washoe,Washoe-7314,U.S. House,2,"EVANS, H.D. CHIP""""",221,DEM
Washoe,Washoe-7314,U.S. House,2,"Everhart, John H.",19,IAP
Washoe,Washoe-7314,U.S. House,2,"KNIGHT, DREW",26,
Washoe,Washoe-7314,U.S. Senate,,"CORTEZ MASTO, CATHERINE",268,DEM
Washoe,Washoe-7314,U.S. Senate,,"GUMINA, TONY",3,
Washoe,Washoe-7314,U.S. Senate,,"HECK, JOE",206,REP
Washoe,Washoe-7314,U.S. Senate,,"JONES, TOM",8,IAP
Washoe,Washoe-7314,U.S. Senate,,None Of These Candidates,17,
Washoe,Washoe-7314,U.S. Senate,,"SAWYER, THOMAS TOM""""",6,
Washoe,Washoe-7314,U.S. Senate,,"WILLIAMS, JARROD M.",7,
Washoe,Washoe-7314,WASHOE QUESTION 1,,No,229,
Washoe,Washoe-7314,WASHOE QUESTION 1,,Yes,281,
Washoe,Washoe-7315,"Court Of Appeals Judge, Dept. 1",,None Of These Candidates,0,
Washoe,Washoe-7315,"Court Of Appeals Judge, Dept. 1",,"TAO, JERRY",0,
Washoe,Washoe-7315,"Court Of Appeals Judge, Dept. 2",,"GIBBONS, MICHAEL",0,
Washoe,Washoe-7315,"Court Of Appeals Judge, Dept. 2",,None Of These Candidates,0,
Washoe,Washoe-7315,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,0,
Washoe,Washoe-7315,"Court Of Appeals Judge, Dept. 3",,"SILVER, ABBI",0,
Washoe,Washoe-7315,"Justice of the Peace, Sparks, Dept. 3",,"Lee, Matt",0,
Washoe,Washoe-7315,"Justice of the Peace, Sparks, Dept. 3",,"Longley, Jessica",0,
Washoe,Washoe-7315,President,,"CASTLE, DARRELL",0,IAP
Washoe,Washoe-7315,President,,"CLINTON, HILLARY",0,DEM
Washoe,Washoe-7315,President,,"DE LA FUENTE, ROQUE ROCKY""""",0,NPP
Washoe,Washoe-7315,President,,"JOHNSON, GARY",0,LPN
Washoe,Washoe-7315,President,,None Of These Candidates,0,
Washoe,Washoe-7315,President,,"TRUMP, DONALD J.",0,REP
Washoe,Washoe-7315,"State Assembly, District 27",,"Benitez-Thompson, Teresa",0,DEM
Washoe,Washoe-7315,"State Assembly, District 27",,"Weber, Bonnie",0,REP
Washoe,Washoe-7315,"State Board of Education, Dist. 2",,"CARTER, DAVID W.",0,
Washoe,Washoe-7315,"State Board of Education, Dist. 2",,"HICKEY, PAT",0,
Washoe,Washoe-7315,STATE QUESTION NO.1,,No,0,
Washoe,Washoe-7315,STATE QUESTION NO.1,,Yes,0,
Washoe,Washoe-7315,STATE QUESTION NO.2,,No,0,
Washoe,Washoe-7315,STATE QUESTION NO.2,,Yes,0,
Washoe,Washoe-7315,STATE QUESTION NO.3,,No,0,
Washoe,Washoe-7315,STATE QUESTION NO.3,,Yes,0,
Washoe,Washoe-7315,STATE QUESTION NO.4,,No,0,
Washoe,Washoe-7315,STATE QUESTION NO.4,,Yes,0,
Washoe,Washoe-7315,"State Senate, District 15",,"Colborne, David",0,LPN
Washoe,Washoe-7315,"State Senate, District 15",,"Gansert, Heidi S.",0,REP
Washoe,Washoe-7315,"State Senate, District 15",,"Reese, Devon Thomas",0,DEM
Washoe,Washoe-7315,"Supreme Court Justice, Seat A",,"HARDESTY, JIM",0,
Washoe,Washoe-7315,"Supreme Court Justice, Seat A",,None Of These Candidates,0,
Washoe,Washoe-7315,"Supreme Court Justice, Seat E",,None Of These Candidates,0,
Washoe,Washoe-7315,"Supreme Court Justice, Seat E",,"PARRAGUIRRE, RON D.",0,
Washoe,Washoe-7315,U.S. House,2,"Amodei, Mark E.",0,REP
Washoe,Washoe-7315,U.S. House,2,"EVANS, H.D. CHIP""""",0,DEM
Washoe,Washoe-7315,U.S. House,2,"Everhart, John H.",0,IAP
Washoe,Washoe-7315,U.S. House,2,"KNIGHT, DREW",0,
Washoe,Washoe-7315,U.S. Senate,,"CORTEZ MASTO, CATHERINE",0,DEM
Washoe,Washoe-7315,U.S. Senate,,"GUMINA, TONY",0,
Washoe,Washoe-7315,U.S. Senate,,"HECK, JOE",0,REP
Washoe,Washoe-7315,U.S. Senate,,"JONES, TOM",0,IAP
Washoe,Washoe-7315,U.S. Senate,,None Of These Candidates,0,
Washoe,Washoe-7315,U.S. Senate,,"SAWYER, THOMAS TOM""""",0,
Washoe,Washoe-7315,U.S. Senate,,"WILLIAMS, JARROD M.",0,
Washoe,Washoe-7315,WASHOE QUESTION 1,,No,0,
Washoe,Washoe-7315,WASHOE QUESTION 1,,Yes,0,
Washoe,Washoe-7316,"Court Of Appeals Judge, Dept. 1",,None Of These Candidates,181,
Washoe,Washoe-7316,"Court Of Appeals Judge, Dept. 1",,"TAO, JERRY",513,
Washoe,Washoe-7316,"Court Of Appeals Judge, Dept. 2",,"GIBBONS, MICHAEL",528,
Washoe,Washoe-7316,"Court Of Appeals Judge, Dept. 2",,None Of These Candidates,163,
Washoe,Washoe-7316,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,180,
Washoe,Washoe-7316,"Court Of Appeals Judge, Dept. 3",,"SILVER, ABBI",512,
Washoe,Washoe-7316,"Justice of the Peace, Sparks, Dept. 3",,"Lee, Matt",229,
Washoe,Washoe-7316,"Justice of the Peace, Sparks, Dept. 3",,"Longley, Jessica",426,
Washoe,Washoe-7316,President,,"CASTLE, DARRELL",8,IAP
Washoe,Washoe-7316,President,,"CLINTON, HILLARY",395,DEM
Washoe,Washoe-7316,President,,"DE LA FUENTE, ROQUE ROCKY""""",2,NPP
Washoe,Washoe-7316,President,,"JOHNSON, GARY",35,LPN
Washoe,Washoe-7316,President,,None Of These Candidates,13,
Washoe,Washoe-7316,President,,"TRUMP, DONALD J.",303,REP
Washoe,Washoe-7316,"State Assembly, District 27",,"Benitez-Thompson, Teresa",411,DEM
Washoe,Washoe-7316,"State Assembly, District 27",,"Weber, Bonnie",303,REP
