"Jurisdiction","Precinct","Race","Candidate","Votes"
"Carson City","207","School Board Trustee, District 2","Roberts, Rebecca","906"
"Carson City","207","United States Senator","ROSEN, JACKY S.","477"
"Carson City","207","School Board Trustee, District 5","Saucedo, Ashliee","486"
"Carson City","207","Carson City Supervisor, Ward 4","Schuette, Lisa","602"
"Carson City","207","Mayor","Shirk, Jim","472"
"Carson City","207","President and Vice President of the United States","Skousen, Joel and Combs, Rik","5"
"Carson City","207","Supreme Court Justice, Seat G","STIGLICH, LIDIA","753"
"Carson City","207","U.S. Representative in Congress, District 2","Tachiquin, Javi ""Trujillo""","45"
"Carson City","207","President and Vice President of the United States","Trump, Donald J. and Vance, JD","676"
"Carson City","207","School Board Trustee, District 5","Walker, Jr., Michael B.","495"
"Carson City","207","Carson City Supervisor, Ward 2","White, Maurice ""Mo""","964"
"Carson City","209","U.S. Representative in Congress, District 2","Amodei, Mark E.","399"
"Carson City","209","Justice and Municipal Court Judge, Department 1","Armstrong, Thomas ""Tom""","721"
"Carson City","209","Mayor","Bagwell, Lori","435"
"Carson City","209","United States Senator","BROWN, SAM","413"
"Carson City","209","Supreme Court Justice, Seat C","CADISH, ELISSA","585"
"Carson City","209","U.S. Representative in Congress, District 2","CHAPMAN, LYNN","67"
"Carson City","209","United States Senator","Cunningham, Chris","13"
"Carson City","209","State Board of Education, District 2","DAVIS, PAUL ""Doc""","381"
"Carson City","209","United States Senator","Hansen, JANINE","26"
"Carson City","209","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","383"
"Carson City","209","School Board Trustee, District 7","Henley, John W.","338"
"Carson City","209","U.S. Representative in Congress, District 2","KIDD, Greg","341"
"Carson City","209","District Court Judge, First Judicial District, Department  2","Krueger, Mark","401"
"Carson City","209","Supreme Court Justice, Seat F","Lee, Patty","586"
"Carson City","209","District Court Judge, First Judicial District, Department  2","Luis, Kristin","397"
"Carson City","209","Carson City Supervisor, Ward 4","Maloney, Lucia","343"
"Carson City","209","President and Vice President of the United States","None Of These Candidates","25"
"Carson City","209","United States Senator","None Of These Candidates","33"
"Carson City","209","Supreme Court Justice, Seat C","None Of These Candidates","227"
"Carson City","209","Supreme Court Justice, Seat F","None Of These Candidates","225"
"Carson City","209","Supreme Court Justice, Seat G","None Of These Candidates","223"
"Carson City","209","State Assembly, District 40","O'Neill, Philip ""PK""","470"
"Carson City","209","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","9"
"Carson City","209","State Board of Education, District 2","ORR, ANGELA","397"
"Carson City","209","School Board Trustee, District 7","Pedersen, Michelle","439"
"Carson City","209","State Assembly, District 40","Ramsey, Katherine","384"
"Carson City","209","School Board Trustee, District 2","Roberts, Rebecca","720"
"Carson City","209","United States Senator","ROSEN, JACKY S.","395"
"Carson City","209","School Board Trustee, District 5","Saucedo, Ashliee","370"
"Carson City","209","Carson City Supervisor, Ward 4","Schuette, Lisa","453"
"Carson City","209","Mayor","Shirk, Jim","375"
"Carson City","209","President and Vice President of the United States","Skousen, Joel and Combs, Rik","1"
"Carson City","209","Supreme Court Justice, Seat G","STIGLICH, LIDIA","585"
"Carson City","209","U.S. Representative in Congress, District 2","Tachiquin, Javi ""Trujillo""","51"
"Carson City","209","President and Vice President of the United States","Trump, Donald J. and Vance, JD","472"
"Carson City","209","School Board Trustee, District 5","Walker, Jr., Michael B.","396"
"Carson City","209","Carson City Supervisor, Ward 2","White, Maurice ""Mo""","742"
"Carson City","211","U.S. Representative in Congress, District 2","Amodei, Mark E.","470"
"Carson City","211","Justice and Municipal Court Judge, Department 1","Armstrong, Thomas ""Tom""","667"
"Carson City","211","Mayor","Bagwell, Lori","399"
"Carson City","211","United States Senator","BROWN, SAM","464"
"Carson City","211","Supreme Court Justice, Seat C","CADISH, ELISSA","555"
"Carson City","211","U.S. Representative in Congress, District 2","CHAPMAN, LYNN","49"
"Carson City","211","United States Senator","Cunningham, Chris","13"
"Carson City","211","State Board of Education, District 2","DAVIS, PAUL ""Doc""","370"
"Carson City","211","United States Senator","Hansen, JANINE","17"
"Carson City","211","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","316"
"Carson City","211","School Board Trustee, District 7","Henley, John W.","303"
"Carson City","211","U.S. Representative in Congress, District 2","KIDD, Greg","271"
"Carson City","211","District Court Judge, First Judicial District, Department  2","Krueger, Mark","365"
"Carson City","211","Supreme Court Justice, Seat F","Lee, Patty","554"
"Carson City","211","District Court Judge, First Judicial District, Department  2","Luis, Kristin","410"
"Carson City","211","Carson City Supervisor, Ward 4","Maloney, Lucia","320"
"Carson City","211","Supreme Court Justice, Seat G","None Of These Candidates","195"
"Carson City","211","President and Vice President of the United States","None Of These Candidates","8"
"Carson City","211","Supreme Court Justice, Seat F","None Of These Candidates","213"
"Carson City","211","Supreme Court Justice, Seat C","None Of These Candidates","212"
"Carson City","211","United States Senator","None Of These Candidates","20"
"Carson City","211","State Assembly, District 40","O'Neill, Philip ""PK""","539"
"Carson City","211","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","3"
"Carson City","211","State Board of Education, District 2","ORR, ANGELA","372"
"Carson City","211","School Board Trustee, District 7","Pedersen, Michelle","412"
"Carson City","211","State Assembly, District 40","Ramsey, Katherine","283"
"Carson City","211","School Board Trustee, District 2","Roberts, Rebecca","668"
"Carson City","211","United States Senator","ROSEN, JACKY S.","322"
"Carson City","211","School Board Trustee, District 5","Saucedo, Ashliee","298"
"Carson City","211","Carson City Supervisor, Ward 4","Schuette, Lisa","438"
"Carson City","211","Mayor","Shirk, Jim","397"
"Carson City","211","President and Vice President of the United States","Skousen, Joel and Combs, Rik","5"
"Carson City","211","Supreme Court Justice, Seat G","STIGLICH, LIDIA","577"
"Carson City","211","U.S. Representative in Congress, District 2","Tachiquin, Javi ""Trujillo""","34"
"Carson City","211","President and Vice President of the United States","Trump, Donald J. and Vance, JD","508"
"Carson City","211","School Board Trustee, District 5","Walker, Jr., Michael B.","412"
"Carson City","211","Carson City Supervisor, Ward 2","White, Maurice ""Mo""","703"
"Carson City","301","U.S. Representative in Congress, District 2","Amodei, Mark E.","614"
"Carson City","301","Justice and Municipal Court Judge, Department 1","Armstrong, Thomas ""Tom""","924"
"Carson City","301","Mayor","Bagwell, Lori","638"
"Carson City","301","United States Senator","BROWN, SAM","616"
"Carson City","301","Supreme Court Justice, Seat C","CADISH, ELISSA","789"
"Carson City","301","U.S. Representative in Congress, District 2","CHAPMAN, LYNN","86"
"Carson City","301","United States Senator","Cunningham, Chris","24"
"Carson City","301","State Board of Education, District 2","DAVIS, PAUL ""Doc""","500"
"Carson City","301","United States Senator","Hansen, JANINE","34"
"Carson City","301","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","477"
"Carson City","301","School Board Trustee, District 7","Henley, John W.","404"
"Carson City","301","U.S. Representative in Congress, District 2","KIDD, Greg","395"
"Carson City","301","District Court Judge, First Judicial District, Department  2","Krueger, Mark","498"
"Carson City","301","Supreme Court Justice, Seat F","Lee, Patty","794"
"Carson City","301","District Court Judge, First Judicial District, Department  2","Luis, Kristin","567"
"Carson City","301","Carson City Supervisor, Ward 4","Maloney, Lucia","442"
"Carson City","301","United States Senator","None Of These Candidates","38"
"Carson City","301","President and Vice President of the United States","None Of These Candidates","18"
"Carson City","301","Supreme Court Justice, Seat C","None Of These Candidates","281"
"Carson City","301","Supreme Court Justice, Seat F","None Of These Candidates","273"
"Carson City","301","Supreme Court Justice, Seat G","None Of These Candidates","268"
"Carson City","301","State Assembly, District 40","O'Neill, Philip ""PK""","697"
"Carson City","301","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","7"
"Carson City","301","State Board of Education, District 2","ORR, ANGELA","523"
"Carson City","301","School Board Trustee, District 7","Pedersen, Michelle","607"
"Carson City","301","State Assembly, District 40","Ramsey, Katherine","453"
"Carson City","301","School Board Trustee, District 2","Roberts, Rebecca","940"
"Carson City","301","United States Senator","ROSEN, JACKY S.","471"
"Carson City","301","School Board Trustee, District 5","Saucedo, Ashliee","452"
"Carson City","301","Carson City Supervisor, Ward 4","Schuette, Lisa","587"
"Carson City","301","Mayor","Shirk, Jim","449"
"Carson City","301","President and Vice President of the United States","Skousen, Joel and Combs, Rik","3"
"Carson City","301","Supreme Court Justice, Seat G","STIGLICH, LIDIA","799"
"Carson City","301","U.S. Representative in Congress, District 2","Tachiquin, Javi ""Trujillo""","56"
"Carson City","301","President and Vice President of the United States","Trump, Donald J. and Vance, JD","694"
"Carson City","301","School Board Trustee, District 5","Walker, Jr., Michael B.","542"
"Carson City","301","Carson City Supervisor, Ward 2","White, Maurice ""Mo""","977"
"Carson City","303","U.S. Representative in Congress, District 2","Amodei, Mark E.","659"
"Carson City","303","Justice and Municipal Court Judge, Department 1","Armstrong, Thomas ""Tom""","1016"
"Carson City","303","Mayor","Bagwell, Lori","660"
"Carson City","303","United States Senator","BROWN, SAM","639"
"Carson City","303","Supreme Court Justice, Seat C","CADISH, ELISSA","836"
"Carson City","303","U.S. Representative in Congress, District 2","CHAPMAN, LYNN","93"
"Carson City","303","United States Senator","Cunningham, Chris","21"
"Carson City","303","State Board of Education, District 2","DAVIS, PAUL ""Doc""","547"
"Carson City","303","United States Senator","Hansen, JANINE","28"
"Carson City","303","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","528"
"Carson City","303","School Board Trustee, District 7","Henley, John W.","425"
"Carson City","303","U.S. Representative in Congress, District 2","KIDD, Greg","431"
"Carson City","303","District Court Judge, First Judicial District, Department  2","Krueger, Mark","538"
"Carson City","303","Supreme Court Justice, Seat F","Lee, Patty","841"
"Carson City","303","District Court Judge, First Judicial District, Department  2","Luis, Kristin","592"
"Carson City","303","Carson City Supervisor, Ward 4","Maloney, Lucia","443"
"Carson City","303","President and Vice President of the United States","None Of These Candidates","15"
